species,catalog,catalog_id,p,N,matches_checked,FR,FA,cost
bottlenose_dolphin,Bottlenose-Dolphin-Tilen,bottlenose_dolphin-1,0.412497238,193,20,0.008474576,0,171
bottlenose_dolphin,Bottlenose-Dolphin-Tilen,bottlenose_dolphin-1,0.412497238,193,25,0.008474576,0,176
bottlenose_dolphin,Bottlenose-Dolphin-Tilen,bottlenose_dolphin-1,0.412497238,193,30,0.008474576,0,181
bottlenose_dolphin,Bottlenose-Dolphin-Tilen,bottlenose_dolphin-1,0.412497238,193,35,0,0,186
bottlenose_dolphin,Bottlenose-Dolphin-Tilen,bottlenose_dolphin-1,0.412497238,193,40,0,0,186
bottlenose_dolphin,Bottlenose-Dolphin-Tilen,bottlenose_dolphin-1,0.412497238,193,45,0,0,186
bottlenose_dolphin,Bottlenose-Dolphin-Tilen,bottlenose_dolphin-1,0.412497238,193,50,0,0,186
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,1,0.008333333,0.026388889,720
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,5,0.015277778,0,791
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,10,0.013888889,0,846
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,15,0.009722222,0,888
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,20,0.009722222,0,923
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,25,0.009722222,0,958
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,30,0.009722222,0,993
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,35,0.009722222,0,1028
bottlenose_dolphin,Kaggle-Sarasota dolphins,bottlenose_dolphin-2,0.435756483,667,40,0.009722222,0,1063
