catalog_id,species,folder,id_count,train_img_count,train_img_per_id,FN,FP,TN,TP
beluga-0,beluga,GREMM_BELUGA_ID_PHOTOS,933,5369,5.754555198285102,0.09165097300690521,0.011927181418706842,0.016635279347143754,0.8797865662272442
beluga-1,beluga,Belugas-Cook-Inlet,79,2074,26.253164556962027,0.17345132743362832,0.005309734513274336,0.0,0.8212389380530973
blue_whale-0,blue_whale,Cascadia-BlueWhales-new,1826,4057,2.2217962760131433,0.15126050420168066,0.010084033613445379,0.0,0.838655462184874
blue_whale-1,blue_whale,Blue-Whales-Chile,522,773,1.4808429118773947,0.13769363166953527,0.0034423407917383822,0.1686746987951807,0.6901893287435457
bottlenose_dolphin-0,bottlenose_dolphin,Bottlenose-Dolphin-Tilen,80,165,2.0625,0.00847457627118644,0.0,0.09322033898305085,0.8983050847457628
bottlenose_dolphin-1,bottlenose_dolphin,Kaggle-Sarasota dolphins,291,1117,3.838487972508591,0.001388888888888889,0.006944444444444444,0.020833333333333332,0.9708333333333333
bottlenose_dolphin-2,bottlenose_dolphin,Bottlenose-Dolphin-Aberdeen,261,8358,32.02298850574713,0.025924645696508816,0.010369858278603527,0.002073971655720705,0.961631524369167
bottlenose_dolphin-3,bottlenose_dolphin,PWF-Bottlenose Dolphins,223,741,3.3228699551569507,0.011928429423459244,0.011928429423459244,0.05964214711729622,0.9165009940357853
brydes_whale-0,brydes_whale,Brydes-Whales-Brazil,44,154,3.5,0.0392156862745098,0.0,0.0392156862745098,0.9215686274509803
commersons_dolphin-0,commersons_dolphin,Commersons-Dolphins,70,90,1.2857142857142858,0.02564102564102564,0.0,0.11538461538461539,0.8589743589743589
common_dolphin-0,common_dolphin,Common-Dolphins,38,347,9.131578947368421,0.07731958762886598,0.005154639175257732,0.005154639175257732,0.9123711340206185
cuviers_beaked_whale-0,cuviers_beaked_whale,ZicaMachineLearning,183,341,1.8633879781420766,0.061696658097686374,0.012853470437017995,0.4318766066838046,0.493573264781491
dusky_dolphin-0,dusky_dolphin,Dusky-Dolphins,2731,3139,1.14939582570487,0.051304347826086956,0.01,0.5721739130434783,0.3665217391304348
false_killer_whale-0,false_killer_whale,False killer Whale-New Zealand,93,3080,33.11827956989247,0.008866371120962635,0.013299556681443952,0.0,0.9778340721975934
false_killer_whale-1,false_killer_whale,PWF-False Killer Whales,91,219,2.4065934065934065,0.013605442176870748,0.006802721088435374,0.04081632653061224,0.9387755102040817
false_killer_whale-2,false_killer_whale,AET-False Killer Whales,12,27,2.25,0.1,0.0,0.05,0.85
fin_whale-0,fin_whale,BpMachineLearning,466,1324,2.8412017167381975,0.04836759371221282,0.010882708585247884,0.12817412333736397,0.8125755743651754
frasiers_dolphin-0,frasiers_dolphin,AET-Frasiers Dolphin,13,14,1.0769230769230769,0.25,0.08333333333333333,0.0,0.6666666666666666
gray_whale-0,gray_whale,Gray-Whales,185,1123,6.07027027027027,0.14485981308411214,0.010903426791277258,0.010903426791277258,0.8333333333333334
humpback_whale-0,humpback_whale,Humpback-Dorsals-Australia,146,216,1.4794520547945205,0.03827751196172249,0.019138755980861243,0.3062200956937799,0.6363636363636364
humpback_whale-1,humpback_whale,Humpback-dorsals-Happywhale,2533,7176,2.833004342676668,0.09954233409610984,0.011670480549199084,0.12654462242562928,0.7622425629290618
killer_whale-0,killer_whale,Killer-Whales-Antarctic-type-C,399,1493,3.7418546365914787,0.07817258883248732,0.012182741116751269,0.05888324873096447,0.8507614213197969
killer_whale-1,killer_whale,Killer-Whales-SW-Australia,73,962,13.178082191780822,0.012027491408934709,0.006872852233676976,0.0,0.9810996563573883
long_finned_pilot_whale-0,long_finned_pilot_whale,long-finned pilot whale-auckland-uni,131,238,1.816793893129771,0.0053475935828877,0.0053475935828877,0.0748663101604278,0.9144385026737968
melon_headed_whale-0,melon_headed_whale,Melon-headed Whales-Cascadia,1323,1689,1.2766439909297052,0.006661115736885929,0.009991673605328892,0.48126561199000834,0.5020815986677769
minke_whale-0,minke_whale,Minke-Whale-Husavik,92,175,1.9021739130434783,0.23809523809523808,0.015873015873015872,0.05555555555555555,0.6904761904761905
minke_whale-1,minke_whale,Minke-Whale-Salish-Sea,36,1433,39.80555555555556,0.009569377990430622,0.009569377990430622,0.2799043062200957,0.7009569377990431
pygmy_killer_whale-0,pygmy_killer_whale,AET-Pygmy Killer Whales,24,76,3.1666666666666665,0.0,0.0,0.061224489795918366,0.9387755102040817
rough_toothed_dolphin-0,rough_toothed_dolphin,AET-Rough-toothed dolphin,46,60,1.3043478260869565,0.15789473684210525,0.017543859649122806,0.10526315789473684,0.7192982456140351
sei_whale-0,sei_whale,FC_SEI_WHALES,197,428,2.1725888324873095,0.018050541516245487,0.01444043321299639,0.05776173285198556,0.9097472924187726
short_finned_pilot_whale-0,short_finned_pilot_whale,PIFSC Marianas short-finned pilot whales,214,367,1.7149532710280373,0.011111111111111112,0.007407407407407408,0.0,0.9814814814814815
short_finned_pilot_whale-1,short_finned_pilot_whale,PWF-Pilot Whales,196,262,1.336734693877551,0.0048543689320388345,0.0,0.24271844660194175,0.7524271844660194
short_finned_pilot_whale-2,short_finned_pilot_whale,AET-Globis,48,116,2.4166666666666665,0.14634146341463414,0.0,0.04878048780487805,0.8048780487804879
southern_right_whale-0,southern_right_whale,Southern-Right-Whales-Johnston,549,866,1.5774134790528234,0.23042168674698796,0.012048192771084338,0.10843373493975904,0.6490963855421686
