catalog_id,species,folder,id_count,train_img_count,train_img_per_id,FN,FP,TN,TP
beluga-0,beluga,GREMM_BELUGA_ID_PHOTOS,933,5369,5.754555198285102,0.06685499058380415,0.12962962962962962,0.003766478342749529,0.7997489014438167
beluga-1,beluga,Belugas-Cook-Inlet,79,2074,26.253164556962027,0.020353982300884955,0.26902654867256637,0.0,0.7106194690265487
blue_whale-0,blue_whale,Cascadia-BlueWhales-new,1826,4057,2.2217962760131433,0.23025210084033612,0.04873949579831933,0.0,0.7210084033613445
blue_whale-1,blue_whale,Blue-Whales-Chile,522,773,1.4808429118773947,0.2495697074010327,0.09982788296041308,0.12908777969018934,0.5215146299483648
bottlenose_dolphin-0,bottlenose_dolphin,Bottlenose-Dolphin-Tilen,80,165,2.0625,0.01694915254237288,0.09322033898305085,0.0423728813559322,0.847457627118644
bottlenose_dolphin-1,bottlenose_dolphin,Kaggle-Sarasota dolphins,291,1117,3.838487972508591,0.004166666666666667,0.013888888888888888,0.016666666666666666,0.9652777777777778
bottlenose_dolphin-2,bottlenose_dolphin,Bottlenose-Dolphin-Aberdeen,261,8358,32.02298850574713,0.008641548565502939,0.05841686830279986,0.0003456619426201175,0.9325959211890771
bottlenose_dolphin-3,bottlenose_dolphin,PWF-Bottlenose Dolphins,223,741,3.3228699551569507,0.009940357852882704,0.0437375745526839,0.033797216699801194,0.9125248508946322
brydes_whale-0,brydes_whale,Brydes-Whales-Brazil,44,154,3.5,0.0196078431372549,0.11764705882352941,0.00980392156862745,0.8529411764705882
commersons_dolphin-0,commersons_dolphin,Commersons-Dolphins,70,90,1.2857142857142858,0.0,0.19230769230769232,0.01282051282051282,0.7948717948717948
common_dolphin-0,common_dolphin,Common-Dolphins,38,347,9.131578947368421,0.02577319587628866,0.14432989690721648,0.0,0.8298969072164949
cuviers_beaked_whale-0,cuviers_beaked_whale,ZicaMachineLearning,183,341,1.8633879781420766,0.028277634961439587,0.4087403598971722,0.10796915167095116,0.455012853470437
dusky_dolphin-0,dusky_dolphin,Dusky-Dolphins,2731,3139,1.14939582570487,0.08565217391304347,0.08782608695652173,0.508695652173913,0.31782608695652176
false_killer_whale-0,false_killer_whale,False killer Whale-New Zealand,93,3080,33.11827956989247,0.00506649778340722,0.01266624445851805,0.0,0.9822672577580748
false_killer_whale-1,false_killer_whale,PWF-False Killer Whales,91,219,2.4065934065934065,0.0,0.027210884353741496,0.034013605442176874,0.9387755102040817
false_killer_whale-2,false_killer_whale,AET-False Killer Whales,12,27,2.25,0.15,0.0,0.05,0.8
fin_whale-0,fin_whale,BpMachineLearning,466,1324,2.8412017167381975,0.06287787182587666,0.13301088270858524,0.06771463119709795,0.7363966142684402
gray_whale-0,gray_whale,Gray-Whales,185,1123,6.07027027027027,0.048286604361370715,0.17445482866043613,0.001557632398753894,0.7757009345794392
humpback_whale-0,humpback_whale,Humpback-Dorsals-Australia,146,216,1.4794520547945205,0.10047846889952153,0.1674641148325359,0.18660287081339713,0.5454545454545454
humpback_whale-1,humpback_whale,Humpback-dorsals-Happywhale,2533,7176,2.833004342676668,0.15240274599542333,0.07048054919908467,0.11167048054919909,0.6654462242562929
killer_whale-0,killer_whale,Killer-Whales-Antarctic-type-C,399,1493,3.7418546365914787,0.04263959390862944,0.11269035532994924,0.027411167512690356,0.817258883248731
killer_whale-1,killer_whale,Killer-Whales-SW-Australia,73,962,13.178082191780822,0.00859106529209622,0.024054982817869417,0.0,0.9673539518900344
long_finned_pilot_whale-0,long_finned_pilot_whale,long-finned pilot whale-auckland-uni,131,238,1.816793893129771,0.0,0.06951871657754011,0.0213903743315508,0.9090909090909091
melon_headed_whale-0,melon_headed_whale,Melon-headed Whales-Cascadia,1323,1689,1.2766439909297052,0.019983347210657785,0.08076602830974189,0.4104912572855953,0.488759367194005
minke_whale-0,minke_whale,Minke-Whale-Husavik,92,175,1.9021739130434783,0.1111111111111111,0.3888888888888889,0.015873015873015872,0.48412698412698413
minke_whale-1,minke_whale,Minke-Whale-Salish-Sea,36,1433,39.80555555555556,0.0023923444976076554,0.3253588516746411,0.004784688995215311,0.6674641148325359
pygmy_killer_whale-0,pygmy_killer_whale,AET-Pygmy Killer Whales,24,76,3.1666666666666665,0.02040816326530612,0.04081632653061224,0.061224489795918366,0.8775510204081632
rough_toothed_dolphin-0,rough_toothed_dolphin,AET-Rough-toothed dolphin,46,60,1.3043478260869565,0.12280701754385964,0.19298245614035087,0.07017543859649122,0.6140350877192983
sei_whale-0,sei_whale,FC_SEI_WHALES,197,428,2.1725888324873095,0.01444043321299639,0.05776173285198556,0.021660649819494584,0.9061371841155235
short_finned_pilot_whale-0,short_finned_pilot_whale,PIFSC Marianas short-finned pilot whales,214,367,1.7149532710280373,0.024074074074074074,0.03148148148148148,0.0,0.9444444444444444
short_finned_pilot_whale-1,short_finned_pilot_whale,PWF-Pilot Whales,196,262,1.336734693877551,0.014563106796116505,0.0970873786407767,0.14563106796116504,0.7427184466019418
short_finned_pilot_whale-2,short_finned_pilot_whale,AET-Globis,48,116,2.4166666666666665,0.17073170731707318,0.17073170731707318,0.036585365853658534,0.6219512195121951
southern_right_whale-0,southern_right_whale,Southern-Right-Whales-Johnston,549,866,1.5774134790528234,0.29066265060240964,0.18373493975903615,0.06927710843373494,0.4563253012048193
spinner_dolphin-0,spinner_dolphin,PWF-Spinner Dolphins,587,1269,2.1618398637137988,0.019441069258809233,0.0850546780072904,0.07654921020656136,0.818955042527339
